rank,trader,roi,pnl,pnl_clean,vol,vol_clean,net
987,0xF8Fd072b004F2D28668864181DbcFC373eaE9506,-20.362432547843497,-2225.3700632937225,-2225.3700632937225,32575.758252124135,32575.758252124135,8628.2226029009
988,0x3F7C10cBbb1EA1046a80B738b9Eaf3217410c7F6,-20.4327435290989,-99393.6571038368,-99393.6571038368,2587369.5056300866,2587369.5056300866,143.09179469587875
989,0xD4B0922Db64F887cA681E7e17A09d7583C667adc,-20.473240841812164,-305.79623309050305,-305.79623309050305,6193.800501293537,6193.800501293537,
990,0x0cA061c21f8bE428778d0dBF4eFFcAAf5f6fcDcc,-20.57615294538384,-5537.755383492244,-5537.755383492244,285952.92036926636,285952.92036926636,20592.119205548286
991,0x4009c6ED84E7c5674066A76F61CB087319a277f8,-20.703949828807268,-84.15794240697645,-84.15794240697645,1658.327077494897,1658.327077494897,322.32460369096634
992,0x18bcFc19c01617f5558b75D1520e174b8F3D7f0D,-20.70597939315652,-8.60200736365483,-8.60200736365483,126.52638384311284,126.52638384311284,32.94158350120354
993,0xf621a50262B216d2bD4Fbff575C54F8a29B804a5,-21.03305070938954,-96.3812025861042,-96.3812025861042,6827.849392284498,6827.849392284498,17.215906718758273
994,0x87cD8D46Ba25755529d960B85dedFCd475662Ac3,-21.183592483700032,-13.476895565257566,-13.476895565257566,260.4930606620665,260.4930606620665,50.142604175532504
995,0x6fB225D4aB69222593c270d00aD48eb22d306372,-21.21907118104362,-1237.4228799772998,-1237.4228799772998,28563.20908651333,28563.20908651333,
996,0x0D9Add6b6E0dF027701f422279696B0034B848b7,-21.22459523520496,-460.8477980889879,-460.8477980889879,9409.811164676072,9409.811164676072,1704.8385977818548
997,0xf8dd12Ec7E457682265DC1e39748ad955F54d46e,-21.35100987382967,-0.2135100987382967,-0.2135100987382967,2.877568261858093,2.877568261858093,0.17602793962960359
998,0xe34C16901FA43cF9203a450FB292803C9cAfa3E8,-21.469837058919165,-955.4059125465741,-955.4059125465741,35751.58058685788,35751.58058685788,
999,0xDc1B123574Fc2e2a4AFd337319b152684Cb0AddC,-21.518105129599675,-40.377629871475754,-40.377629871475754,851.7028703743683,851.7028703743683,146.98606701053842
1000,0xd29c64cFeDA42E90690483036987A352FA4e8306,-21.542445524626928,-4434.931821388254,-4434.931821388254,52163.820145566984,52163.820145566984,16152.015079873823
1001,0xCe4BD17F6882570d63cb9164d90110b6E4430a4B,-21.58365051981626,-58.6326414029557,-58.6326414029557,1115.4060607074045,1115.4060607074045,213.02039221674747
1002,0x3967FE41936b952E2954E8AdD4510Ea3c0461Aa3,-22.16736730744998,-21.705339508167068,-21.705339508167068,297.9910511739893,297.9910511739893,76.21039043452382
1003,0xCb235BAbeB250e9CD1F2130ff21B4F77b85D559A,-22.21848608599362,-900.7892722571281,-900.7892722571281,25187.30542893141,25187.30542893141,1534.02804482992
1004,0x111DAEF27A73C3ff4E9686eC7f869Fe32ec08661,-22.403652036936084,-21.910171434278716,-21.910171434278716,298.1969906707424,298.1969906707424,75.88714928002365
1005,0x1F61545570b3d3D83401926BEA5997b345Eeb6fA,-22.420498535213856,-668.4172432979574,-668.4172432979574,11541.403869570699,11541.403869570699,2312.8601009508097
1006,0x2AA18feB4c778290E2C24Ef2ea2bafcE08e249b8,-22.458097134703785,-1611.388577693782,-1611.388577693782,45411.0960094711,45411.0960094711,5563.700959183119
1007,0x717b113B89561C2E423cb3831c09348e8B5ddcA5,-22.61129442580476,-412.13295383466345,-412.13295383466345,22327.725784474504,22327.725784474504,1405.1358507361397
1008,0x3708F6D998dc4F0Dd4357A5f6b861e0f8c0Ad913,-22.80430119508687,-196.13783380178674,-196.13783380178674,4532.744320512886,4532.744320512886,663.7061185333996
1009,0xBf02910A77281F3c279ee45dA17c3BE8163b108f,-22.922128663169328,-15683.310727628772,-15683.310727628772,161858.8059489744,161858.8059489744,52736.64693899188
1010,0xB2180002b7a67A092E8cC95D53794Ce49D2CB669,-23.238193684393902,-272.90027654277054,-272.90027654277054,7976.827731240055,7976.827731240055,901.4606925115604
1011,0x5091E8ffFf333E7fCf4534790C7bAbBA7C026C7A,-23.28692503099048,-52.327408770979204,-52.327408770979204,2166.670300430696,2166.670300430696,
1012,0x75F74f3678dc0B050B55935Ba9D1009e88cEc66d,-23.952433805611108,-183.219353122033,-183.219353122033,4921.8716384001555,4921.8716384001555,576.7540368584126
1013,0x100D5164fc8c65dF61FEA01330948f435bb12100,-24.012135500599715,-2.6743074940661127,-2.6743074940661127,81.81279041798813,81.81279041798813,8.46300885998878
1014,0x475E80062da060826A54B3e29776eA55FF4d32E0,-24.12546791039815,-561.4014654994211,-561.4014654994211,18686.148522851876,18686.148522851876,
1015,0x6D873D4aE5608eAaBe1a6dE56F72d1fbe1bd01e7,-24.15429260227561,-0.24154292602275612,-0.24154292602275612,2.5995691922050055,2.5995691922050055,0.6089120241448935
1016,0x7eA6aE3B50C4ac395e7e4Fac1b94b8789a85a7B2,-24.18435627289742,-832.9711539567681,-832.9711539567681,20419.41048731705,20419.41048731705,2611.284895522003
1017,0x0DD8240dDE8373C157A9C4bC797bD98C9F490cd9,-24.284006308068186,-456.4968791541398,-456.4968791541398,18523.84682930407,18523.84682930407,1350.2004651176799
1018,0x9AFDb35A07bFB172A7512b2327419a79830f7aEA,-24.319302302029033,-12.047774634239337,-12.047774634239337,779.1272262038101,779.1272262038101,
1019,0xee0e7a6BAFeE3430DBC40131688B2a47E1f18F69,-24.550719014828783,-511.4551577196367,-511.4551577196367,6347.336911089369,6347.336911089369,1571.8042262956121
1020,0x39e1C6A9517EB4709B4DB48f49C7d8321DA1AF5A,-24.573501650623275,-1812.8086399942677,-1812.8086399942677,77267.15090718649,77267.15090718649,
1021,0xA4B5aedDC85A7B6442EA68dA2971f15461075785,-24.62738748243744,-10.364511773264176,-10.364511773264176,128.46334694750544,128.46334694750544,31.720795816326614
1022,0xAec47f9e6C2Eb31fFB5D98d0A5EF6f350419B408,-24.664150323677262,-5351.470246537714,-5351.470246537714,73849.3975743156,73849.3975743156,16345.892834323711
1023,0x7011940c22626675a28216c82891d36F5faA0980,-24.688657363199447,-162.6002216917411,-162.6002216917411,3866.7175195377604,3866.7175195377604,495.5783214173255
1024,0x5dd4ee4BFa55c83C28149BA52eC224913Fb6FBe1,-24.846148110109358,-1246.543340611641,-1246.543340611641,10328.811188693559,10328.811188693559,3770.505318550339
1025,0x14b1b3fF91525Dd00E8fb8Ce000097ce7d1Cb251,-24.89148148890969,-7590.433796964831,-7590.433796964831,116282.79230883447,116282.79230883447,22493.238373174507
1026,0xB5AcDe8eD537ac2b135993991cda37474F08d470,-24.928800722204045,-236.946285612249,-236.946285612249,2908.0489053231495,2908.0489053231495,713.5458309266799
1027,0x96499cFCB6aa606774A2618cb576461beFe695F4,-25.166744833812427,-2452.7164452815105,-2452.7164452815105,57179.90085490614,57179.90085490614,
1028,0xA7D44B434213BEcFC355048784D4C77D6447c979,-25.401624211476097,-11533.04177582777,-11533.04177582777,139736.86951056012,139736.86951056012,33869.731211488936
1029,0xE171e110cfe6f658c4421C2Da4c86E4933919de4,-25.57515635593851,-652.843794982686,-652.843794982686,28289.938141888757,28289.938141888757,119.64915956427303
1030,0x10F1dbbFc372cc9F0Cf5D1cED63E14e3835a394c,-25.801836975428706,-2.3324252822097225,-2.3324252822097225,52.522737002035925,52.522737002035925,
