rank,trader,roi,pnl,pnl_clean,vol,vol_clean,net
1279,0x1DD46703f055972b02708c0fF2BD688e8ecCE503,-68.618077178133,-614.7292894774333,-614.7292894774333,2763.817948977813,2763.817948977813,260.9574937129081
1280,0xc1fF49a26D931Ea7cEA2CE4a9B5cFd8A25Fbd160,-69.23851606020962,-26907.200884082395,-26907.200884082395,192167.11340709293,192167.11340709293,
1281,0x9fBa5259A1a4654212849E87CFdf5B28d5bbcB5e,-69.3044341636089,-771518.8080837175,-771518.8080837175,3594033.303327503,3594033.303327503,
1282,0x3dC606cE9cCA12196917A3267A8AE7008E018958,-69.4415254883789,-122702.16068319991,-122702.16068319991,488924.68947820185,488924.68947820185,53631.120525819766
1283,0x278Bf38B560386eA5407909F48e30D73C26727b8,-69.75615596164099,-4443.858194080562,-4443.858194080562,14336.075959904216,14336.075959904216,
1284,0x39fA83042aFF7e8e506730B4c8b1aBe8eD6e0469,-69.88258065612595,-70482.05494373577,-70482.05494373577,637953.0667625164,637953.0667625164,261.3922444664372
1285,0xAC441f45f2A381FB40B86ccED346CdAd56f1f96E,-69.91467208820262,-1410.3881371385191,-1410.3881371385191,3716.3034557552846,3716.3034557552846,606.911086348088
1286,0xfA5B239e44d0828104FcD86a23485Af2Bd7F0ed0,-69.92638255480121,-5042.485116158745,-5042.485116158745,36439.81583604702,36439.81583604702,2168.648839193452
1287,0xf442a065F04ba3962a405b0BD88ac19Fb7533a5A,-69.94944186140587,-2039.9993174201034,-2039.9993174201034,25216.909218874083,25216.909218874083,
1288,0x45697B2ac23F6F02412110145FAdb4dEAf1A6E0f,-70.40563800601377,-14286.626903613844,-14286.626903613844,58272.54521535776,58272.54521535776,5880.043030549731
1289,0x35119741D2D3c40fCD456a93860F68c1754a4f56,-70.63905491553858,-6741.691967705902,-6741.691967705902,17566.61808377065,17566.61808377065,2802.1672696052156
1290,0xAbbe4084A8e5F54c08B49F7433d5527335f79703,-70.78198914241142,-1979.1959873362616,-1979.1959873362616,121736.15787859808,121736.15787859808,
1291,0xd6137678698f5304bEf86262332Be671618d5d08,-70.96413691766841,-8966.55240443016,-8966.55240443016,97204.05285470198,97204.05285470198,
